module,syn mode,clk,slack,TNS,Comb cell count,Seq cell count,Comb area, Seq area,Design Area,% area impr
module_Q,hier,clk_ncg,0.00,0.00,2514576,700027,728252.639007,1071040.386395,8734576.395375,1.12385667845
module_Q,flat,clk_ncg,0.00,0.00,2067685,699650,631070.316474,1070058.588775,8636412.275221,1.12385667845
module_K,hier,clk_ncg,-0.13,-275.48,767593,130616,222128.080265,201255.480486,3877641.863782,1.38857267748
module_K,flat,clk_ncg,0.00,-0.00,584673,130577,168483.374099,201056.311200,3823797.988331,1.38857267748
module_O,hier,clk_ncg,-0.23,-9917.96,1389192,241985,395835.423385,386198.884535,2923460.282493,0.575487619064
module_O,flat,clk_ncg,-0.07,-3189.08,1327872,241969,379530.759298,385679.396647,2906636.130519,0.575487619064
module_5,hier,clk_ncg,-0.13,-469.24,1525762,583624,418414.751106,931642.376676,2464535.096497,0.591792165173
module_5,flat,clk_ncg,-0.06,-121.22,1504437,583693,410202.154675,925270.047499,2449950.170888,0.591792165173
module_D,hier,clk_ncg,0.00,0.00,452674,141556,181490.078261,221635.651999,873794.720204,2.34820363474
module_D,flat,clk_ncg,0.00,0.00,359627,141525,161371.285392,221235.965488,853276.240824,2.34820363474
module_N,hier,clk_ncg,-0.30,-1936.23,2667357,602285,834214.843128,950562.419413,4191332.429831,3.66392039519
module_N,hier,meh_clk_ncg,0.00,0.00,,,,,,
module_N,hier,o_da0_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da0_tx_clk,0.19,0.00,,,,,,
module_N,hier,o_da1_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da1_tx_clk,0.19,0.00,,,,,,
module_N,hier,o_da2_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da2_tx_clk,0.31,0.00,,,,,,
module_N,hier,o_da3_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da3_tx_clk,0.31,0.00,,,,,,
module_N,hier,o_da4_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da4_tx_clk,0.25,0.00,,,,,,
module_N,hier,o_da5_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da5_tx_clk,0.34,0.00,,,,,,
module_N,hier,o_da6_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da6_tx_clk,0.25,0.00,,,,,,
module_N,hier,o_da7_rx_clk,0.41,0.00,,,,,,
module_N,hier,o_da7_tx_clk,0.25,0.00,,,,,,
module_N,flat,clk_ncg,-0.25,-232.94,2154707,602440,681104.780845,950105.397969,4037765.346104,3.66392039519
module_N,flat,meh_clk_ncg,0.00,0.00,,,,,,
module_N,flat,o_da0_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da0_tx_clk,0.28,0.00,,,,,,
module_N,flat,o_da1_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da1_tx_clk,0.31,0.00,,,,,,
module_N,flat,o_da2_rx_clk,0.38,0.00,,,,,,
module_N,flat,o_da2_tx_clk,0.01,0.00,,,,,,
module_N,flat,o_da3_rx_clk,0.36,0.00,,,,,,
module_N,flat,o_da3_tx_clk,0.01,0.00,,,,,,
module_N,flat,o_da4_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da4_tx_clk,0.21,0.00,,,,,,
module_N,flat,o_da5_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da5_tx_clk,0.21,0.00,,,,,,
module_N,flat,o_da6_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da6_tx_clk,0.21,0.00,,,,,,
module_N,flat,o_da7_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da7_tx_clk,0.21,0.00,,,,,,
module_I,hier,clk_ncg,0.00,0.00,718093,104896,235172.318924,151043.821939,10484927.910475,0.396264516731
module_I,flat,clk_ncg,0.00,0.00,582476,104897,193610.636084,151057.455865,10443379.861561,0.396264516731
module_R,hier,clk_ncg,-0.20,-4241.74,1894493,786147,660137.768743,1192996.937625,5258945.428635,2.77901360684
module_R,flat,clk_ncg,0.00,0.00,1266066,792941,504065.828124,1202922.069206,5112798.619597,2.77901360684
module_M,hier,clk_ncg,-0.33,-315.29,1594468,396736,500231.541186,633490.104696,2930078.591465,3.03026749646
module_M,hier,meh_clk_ncg,0.00,0.00,,,,,,
module_M,hier,o_da0_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da0_tx_clk,0.25,0.00,,,,,,
module_M,hier,o_da1_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da1_tx_clk,0.31,0.00,,,,,,
module_M,hier,o_da2_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da2_tx_clk,0.31,0.00,,,,,,
module_M,hier,o_da3_rx_clk,0.41,0.00,,,,,,
module_M,hier,o_da3_tx_clk,0.31,0.00,,,,,,
module_M,hier,o_da4_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da4_tx_clk,0.31,0.00,,,,,,
module_M,hier,o_da5_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da5_tx_clk,0.31,0.00,,,,,,
module_M,hier,o_da6_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da6_tx_clk,0.25,0.00,,,,,,
module_M,hier,o_da7_rx_clk,0.41,0.00,,,,,,
module_M,hier,o_da7_tx_clk,0.25,0.00,,,,,,
module_M,flat,clk_ncg,-0.25,-232.94,1295952,396756,411741.386992,633191.039711,2841289.372287,3.03026749646
module_M,flat,meh_clk_ncg,0.00,0.00,,,,,,
module_M,flat,o_da0_rx_clk,0.44,0.00,,,,,,
module_M,flat,o_da0_tx_clk,0.28,0.00,,,,,,
module_M,flat,o_da1_rx_clk,0.44,0.00,,,,,,
module_M,flat,o_da1_tx_clk,0.31,0.00,,,,,,
module_M,flat,o_da2_rx_clk,0.44,0.00,,,,,,
module_M,flat,o_da2_tx_clk,0.01,0.00,,,,,,
module_M,flat,o_da3_rx_clk,0.44,0.00,,,,,,
module_M,flat,o_da3_tx_clk,0.01,0.00,,,,,,
module_M,flat,o_da4_rx_clk,0.42,0.00,,,,,,
module_M,flat,o_da4_tx_clk,0.21,0.00,,,,,,
module_M,flat,o_da5_rx_clk,0.48,0.00,,,,,,
module_M,flat,o_da5_tx_clk,0.21,0.00,,,,,,
module_M,flat,o_da6_rx_clk,0.48,0.00,,,,,,
module_M,flat,o_da6_tx_clk,0.21,0.00,,,,,,
module_M,flat,o_da7_rx_clk,0.48,0.00,,,,,,
module_M,flat,o_da7_tx_clk,0.21,0.00,,,,,,
module_B,hier,clk_ncg,0.00,0.00,124511,25748,36407.543674,37250.409320,1062700.473456,0.733925677443
module_B,flat,clk_ncg,0.00,0.00,96243,25751,28601.994904,37256.526441,1054901.041807,0.733925677443
module_X,hier,clk_ncg,-0.14,-221.14,490238,96518,143025.214507,143696.281496,3793493.346543,0.889330529781
module_X,flat,clk_ncg,0.00,-1.49,364909,96467,109524.081031,143460.720496,3759756.652067,0.889330529781
module_Y,hier,clk_ncg,0.00,0.00,15339,2645,4359.277522,3966.744974,8265424.506275,0.0187122441301
module_Y,flat,clk_ncg,0.00,0.00,9542,2614,2906.772556,3872.603529,8263877.859863,0.0187122441301
module_C,hier,clk_ncg,-0.20,-4044.62,1583657,605905,569740.885986,936375.721993,3924199.492600,2.89900196136
module_C,flat,clk_ncg,0.00,-0.00,1076547,615366,442938.535413,949415.452308,3810436.872342,2.89900196136
module_U,hier,clk_ncg,-0.67,-17864.15,1004514,400424,279311.541479,591968.114084,13286122.614511,0.410361353962
module_U,flat,clk_ncg,-0.57,-8862.01,758212,400527,224584.364744,592174.178169,13231601.501861,0.410361353962
module_F,hier,clk_ncg,-0.16,-267.77,756778,210716,212133.482418,300491.541085,888013.718163,9.20915199319
module_F,flat,clk_ncg,0.00,0.00,436671,210650,130353.757031,300492.733446,806235.185137,9.20915199319
module_H,hier,clk_ncg,-0.04,-8.82,1323577,199881,398090.569330,306317.638977,1008716.460360,0.625991037734
module_H,flat,clk_ncg,0.00,0.00,1307305,199920,391545.354689,306548.378981,1002401.985722,0.625991037734
module_E,hier,clk_ncg,-0.03,-8.69,578353,115956,168391.149519,170503.574062,1044665.130907,3.83488361971
module_E,flat,clk_ncg,-0.04,-13.55,418098,115867,128106.856286,170726.175309,1004603.438921,3.83488361971
module_3,hier,clk_ncg,-0.24,-5681.00,1441347,295047,414681.335966,457206.776433,12054076.830516,0.622297088053
module_3,flat,clk_ncg,-0.08,-1619.51,1114751,295036,339811.726831,457064.216460,11979064.661408,0.622297088053
module_1,hier,clk_ncg,-0.10,-94.26,1375671,344469,402965.650757,507437.550661,2830136.478729,2.23525506718
module_1,hier,ips_clk,0.01,0.00,,,,,,
module_1,hier,pcie_clk,0.00,0.00,,,,,,
module_1,hier,tb_1ghz_clk,0.24,0.00,,,,,,
module_1,hier,ts_clk,0.00,0.00,,,,,,
module_1,flat,clk_ncg,-0.01,-1.39,1055232,354329,315894.098108,531248.334261,2766875.709680,2.23525506718
module_1,flat,ips_clk,0.00,0.00,,,,,,
module_1,flat,pcie_clk,0.00,0.00,,,,,,
module_1,flat,tb_1ghz_clk,0.30,0.00,,,,,,
module_1,flat,ts_clk,0.00,0.00,,,,,,
module_2,hier,clk_ncg,-0.66,-8974.55,407649,76043,115399.471985,112123.699137,751443.493351,0.302088134382
module_2,flat,clk_ncg,-0.51,-6024.36,395449,76022,112680.671393,112572.478098,749173.471721,0.302088134382
module_S,hier,clk_ncg,-0.16,-5264.84,2842591,897463,1039589.879038,1365635.493921,5337683.626843,2.50115727119
module_S,flat,clk_ncg,0.00,-0.00,2336655,897572,906020.957499,1365700.553315,5204179.764697,2.50115727119
module_V,hier,clk_ncg,-0.13,-774.75,1544773,331238,419460.309099,477290.253734,3052976.027169,3.97467685144
module_V,flat,clk_ncg,0.00,0.00,1030622,331229,298307.066915,477097.564485,2931630.095737,3.97467685144
module_4,hier,clk_ncg,-0.64,-11803.78,1726998,343529,506818.693585,541605.619048,14882880.287084,1.43890092137
module_4,flat,clk_ncg,-0.62,-9483.63,1082617,315162,338361.657985,495912.753071,14668730.385507,1.43890092137
module_T,hier,clk_ncg,-0.21,-5320.36,2822599,922645,874324.170059,1378500.773579,5858731.140004,2.70467150795
module_T,flat,clk_ncg,-0.05,-94.98,2087738,927261,708115.228144,1386250.283624,5700271.708133,2.70467150795
module_G,hier,clk_ncg,-0.17,-416.73,755539,210710,211690.405928,300533.272307,887612.372895,9.176212049
module_G,flat,clk_ncg,0.00,0.00,436071,210648,130278.485355,300495.999369,806163.179385,9.176212049
module_W,hier,clk_ncg,-0.04,-8.82,1323577,199881,398090.569330,306317.638977,1008716.460360,0.625991037734
module_W,flat,clk_ncg,0.00,0.00,1307305,199920,391545.354689,306548.378981,1002401.985722,0.625991037734
module_L,hier,clk_ncg,-0.01,-0.46,2743290,460987,913830.817624,726131.969753,3070322.674695,6.40599084302
module_L,hier,meh_clk_ncg,0.00,0.00,,,,,,
module_L,hier,o_da0_rx_clk,0.06,0.00,,,,,,
module_L,hier,o_da0_tx_clk,0.25,0.00,,,,,,
module_L,hier,o_da1_rx_clk,0.01,0.00,,,,,,
module_L,hier,o_da1_tx_clk,0.32,0.00,,,,,,
module_L,hier,o_da2_rx_clk,0.05,0.00,,,,,,
module_L,hier,o_da2_tx_clk,0.29,0.00,,,,,,
module_L,hier,o_da3_rx_clk,0.06,0.00,,,,,,
module_L,hier,o_da3_tx_clk,0.24,0.00,,,,,,
module_L,hier,o_da4_rx_clk,0.04,0.00,,,,,,
module_L,hier,o_da4_tx_clk,0.29,0.00,,,,,,
module_L,hier,o_da5_rx_clk,0.03,0.00,,,,,,
module_L,hier,o_da5_tx_clk,0.29,0.00,,,,,,
module_L,hier,o_da6_rx_clk,0.10,0.00,,,,,,
module_L,hier,o_da6_tx_clk,0.29,0.00,,,,,,
module_L,hier,o_da7_rx_clk,0.09,0.00,,,,,,
module_L,hier,o_da7_tx_clk,0.26,0.00,,,,,,
module_L,hier,o_da8_rx_clk,0.02,0.00,,,,,,
module_L,hier,o_da8_tx_clk,0.32,0.00,,,,,,
module_L,hier,o_da9_rx_clk,0.04,0.00,,,,,,
module_L,hier,o_da9_tx_clk,0.19,0.00,,,,,,
module_L,hier,o_da10_rx_clk,0.09,0.00,,,,,,
module_L,hier,o_da10_tx_clk,0.19,0.00,,,,,,
module_L,hier,o_da11_rx_clk,0.08,0.00,,,,,,
module_L,hier,o_da11_tx_clk,0.26,0.00,,,,,,
module_L,flat,clk_ncg,0.00,0.00,2188679,459932,717165.201255,726112.996730,2873638.085303,6.40599084302
module_L,flat,meh_clk_ncg,0.00,0.00,,,,,,
module_L,flat,o_da0_rx_clk,0.08,0.00,,,,,,
module_L,flat,o_da0_tx_clk,0.56,0.00,,,,,,
module_L,flat,o_da1_rx_clk,0.10,0.00,,,,,,
module_L,flat,o_da1_tx_clk,0.34,0.00,,,,,,
module_L,flat,o_da2_rx_clk,0.02,0.00,,,,,,
module_L,flat,o_da2_tx_clk,0.57,0.00,,,,,,
module_L,flat,o_da3_rx_clk,0.02,0.00,,,,,,
module_L,flat,o_da3_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da4_rx_clk,0.02,0.00,,,,,,
module_L,flat,o_da4_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da5_rx_clk,0.01,0.00,,,,,,
module_L,flat,o_da5_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da6_rx_clk,0.00,0.00,,,,,,
module_L,flat,o_da6_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da7_rx_clk,0.06,0.00,,,,,,
module_L,flat,o_da7_tx_clk,0.57,0.00,,,,,,
module_L,flat,o_da8_rx_clk,0.05,0.00,,,,,,
module_L,flat,o_da8_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da9_rx_clk,0.10,0.00,,,,,,
module_L,flat,o_da9_tx_clk,0.49,0.00,,,,,,
module_L,flat,o_da10_rx_clk,0.09,0.00,,,,,,
module_L,flat,o_da10_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da11_rx_clk,0.01,0.00,,,,,,
module_L,flat,o_da11_tx_clk,0.57,0.00,,,,,,
module_P,hier,clk_ncg,0.04,0.00,87309,62431,18146.954835,100236.271774,20787305.242235,0.0862513457376
module_P,flat,clk_ncg,0.00,0.00,800,62431,217.624321,100236.271774,20769375.911721,0.0862513457376
module_A,hier,clk_ncg,-0.08,-49.26,170991,28018,50170.804705,42898.637426,805425.661812,2.14316880048
module_A,flat,clk_ncg,0.00,0.00,118164,28009,32905.440715,42902.369921,788164.030317,2.14316880048
module_J,hier,clk_ncg,0.00,0.00,736304,144862,219963.914256,210626.230095,15420640.737330,0.434884227519
module_J,flat,clk_ncg,0.00,0.00,473992,144864,152895.914622,210632.295379,15353578.802981,0.434884227519
